step,action0,action1,action2,action3,action4,action5,action6,action7,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,
0,-0.000971552,0.000648736,0.0022712,-0.112055,-0.0710333,0,-0.00620529,-3.86769e-05,0.654131,0.996935,0.042092,0.0582416,-0.0309292,-0.00735012,0.0565116,0.0761231,0.0462263,-0.000918915,0.0158844,-0.0385503,0.043975,0.047868,0.0731876,0.0648389,0.0549416,0.0181467,0.0555343,0.0700165,0.0293458,0.035029,0.0451245,0.00214929,0.0969759,0.0306798,0.0941912,
1,0.0295393,0.00139284,0.00196867,-0.1104,-0.220138,0,-0.0186693,-0.000144753,0.678196,0.996403,0.0428452,0.0675329,-0.028013,-0.00363718,0.427409,0.064882,-0.414933,-0.00197292,-0.420353,-0.0372191,0.433122,0.115066,-0.0136704,0.256232,-0.0257987,0.439053,0.148574,0.07793,7.85828,-0.481901,-10.192,-0.0429828,-9.65098,0.0235794,8.58094,
2,0.0456501,0.00532273,0.00868197,-0.105969,-0.338225,0,-0.0306714,2.55331e-05,0.673405,0.995846,0.0417775,0.0781104,-0.0210796,0.000346927,0.790397,0.00112049,-0.911974,-0.00753956,-0.891112,-0.0306867,0.851896,0.0201078,-0.0407988,-0.45903,-0.107666,0.408311,0.344851,0.0825234,6.67138,-2.05784,-9.69356,-0.178226,-9.1829,0.236661,8.17338,
3,-0.0920689,0.0163826,0.0221229,-0.0971573,-0.38019,0,-0.0385054,0.000806505,0.647347,0.999101,-0.0324119,0.0238374,-0.0133666,0.00789973,1.09642,-0.161238,-1.28352,-0.0232075,-1.29256,-0.011962,1.24298,-0.0229371,-0.0735537,-0.836594,-3.22048,-3.95202,0.390304,0.21084,5.56103,-4.41468,-0.421394,-0.436516,-1.75912,0.513794,6.26278,
4,-0.00642704,0.0376543,0.00412216,-0.0766827,-0.212253,0,-0.041501,0.00153025,0.660303,0.997227,-0.012097,-0.032389,0.065902,0.0131809,1.2468,-0.432403,-1.23625,-0.0533615,-1.24529,-0.00556438,1.25295,-0.229848,-1.14836,0.290063,1.50702,-1.422,3.90275,0.135409,-0.267839,-6.62688,1.11948,-0.741231,1.36977,-0.221468,-1.10588,
5,0.0552702,0.0691945,0.0462041,-0.055157,-0.108512,0,-0.0359023,0.00240117,0.679681,0.988862,0.0172508,-0.0429694,0.141452,0.0212204,1.21521,-0.557413,-1.182,-0.0981689,-1.18251,-0.0171073,1.20561,0.255209,-0.393447,0.537851,1.00212,0.417037,2.15011,0.183904,-0.905875,0.749556,1.05093,-1.05161,1.12542,-0.241635,-0.789512,
6,0.0539853,0.109701,0.0576606,-0.0367558,-0.116495,0,-0.0243131,0.00417649,0.694012,0.979725,0.036813,-0.0300417,0.194631,0.0386396,1.16081,-0.53047,-1.13059,-0.156016,-1.12717,-0.0187733,1.17971,0.267419,-0.401573,0.0348879,0.886957,0.431194,2.08921,0.509765,-1.26696,0.251045,1.00536,-1.26075,1.08824,0.171526,-0.250899,
7,0.0509273,0.155424,0.0641289,-0.020052,-0.123564,0,-0.00237774,0.0075301,0.683239,0.967801,0.0534353,-0.0177531,0.245339,0.0740451,1.09218,-0.524789,-1.08143,-0.221952,-1.07331,-0.000499357,1.18751,0.296285,-0.400493,-0.466057,0.767358,0.391727,1.99277,0.903191,-1.4767,0.0360988,0.961285,-1.37566,1.06623,0.556453,0.556138,
8,0.0729906,0.201833,0.0724437,-0.00725041,-0.142843,0,0.0309515,0.0122911,0.655185,0.954848,0.06049,-0.00151802,0.290866,0.129887,1.01632,-0.524115,-1.03452,-0.28987,-1.02138,0.0358875,1.23397,0.178065,-0.0843113,-0.270701,-0.592403,1.0788,1.32103,1.33132,-1.56147,0.00108464,0.916456,-1.34042,0.972305,0.873474,0.269189,
9,0.0598302,0.241422,0.0538272,-0.00495877,-0.139911,0,0.0763607,0.0181808,0.646482,0.949303,0.0239364,0.00854196,0.313334,0.208042,0.938625,-0.524182,-0.98979,-0.348854,-0.97209,0.0909514,1.22682,-0.332675,-0.121793,-0.27795,-1.5307,0.741474,0.693119,1.791,-1.54469,-0.000560824,0.872863,-1.02961,1.00465,1.33822,-0.152533,
10,0.0471393,0.265281,0.0197224,-0.0130759,-0.138405,0,0.131601,0.0245041,0.623691,0.944643,-0.0200416,0.00927382,0.327356,0.305249,0.862288,-0.524178,-0.947175,-0.38497,-0.919753,0.16716,1.22309,-0.472525,-0.118552,-0.623162,-1.82928,0.416244,0.442873,2.09518,-1.50924,0.000105046,0.832577,-0.419952,1.08801,1.7064,-0.0259044,
11,0.0285405,0.262846,-0.0470334,-0.0354255,-0.138199,0,0.190477,0.0300757,0.594238,0.941583,-0.0591204,0.00122068,0.331549,0.410939,0.78623,-0.524169,-0.906541,-0.381261,-0.862198,0.258661,1.22257,-0.0431092,-0.477736,-0.032444,-0.192635,-0.0814459,-0.407347,2.07994,-1.55018,0.00269582,0.789754,0.559724,1.2142,1.93234,-0.0031492,
12,0.0231701,0.221873,-0.127923,-0.0740332,-0.138199,0,0.241167,0.0329322,0.594764,0.945282,-0.0574525,-0.00212507,0.32115,0.502777,0.703691,-0.524152,-0.868154,-0.319591,-0.797586,0.357331,1.22254,0.0642393,-0.673401,-0.0396254,0.00948964,-0.198379,-0.446548,1.61749,-1.74052,-0.000194707,0.773051,1.89727,1.36926,2.01187,-8.70884e-05,
13,0.0134798,0.128739,-0.220859,-0.135358,-0.13816,0,0.258072,0.0298034,0.589725,0.948752,-0.0537805,-0.00987069,0.311255,0.528863,0.605385,-0.524163,-0.828704,-0.183373,-0.72481,0.458648,1.22246,-0.0145966,-0.788661,-0.153248,0.101723,-0.439091,-0.435747,-0.298271,-2.18755,0.000318336,0.804861,3.53731,1.54079,2.04046,-0.000785967,
14,0.000523062,-0.0252632,-0.309305,-0.192508,-0.138082,0,0.233803,0.0223491,0.578521,0.951727,-0.0428587,-0.0222189,0.303124,0.474249,0.506183,-0.524167,-0.788083,0.0357922,-0.644078,0.537833,1.22228,-0.119593,-0.819186,-0.359977,0.596543,-0.772965,-0.205113,-1.87711,-0.149736,-0.000489403,0.801933,5.21396,1.69183,0.069602,-0.000665774,
15,-0.0174051,-0.230368,-0.382191,-0.247131,-0.136238,0,0.156042,0.0157284,0.552634,0.951848,-0.0182053,-0.0419445,0.303142,0.326381,0.517577,-0.524184,-0.7491,0.332273,-0.557138,0.527008,1.21775,-0.325962,-0.911332,-0.582778,0.897774,-1.25219,0.0263653,-4.01828,0.190791,-0.000251216,0.753929,6.63459,1.78375,-0.237099,-0.16761,
