step,action0,action1,action2,action3,action4,action5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,
0,0.0614884,-0.0338407,1,0.00212266,-1,0.763808,0.0630394,-0.0518677,-0.0133034,-0.010785,0.0615661,0.0236643,-0.0997345,-0.0495433,0.0991976,0.0146351,0.0922247,0.0411597,0.047769,0.0452996,0.0132324,0.0242512,0.0549715,
1,1,-0.151549,1,0.267942,-1,0.804629,0.046466,-0.0333891,-0.0133926,-0.0414765,0.400526,0.0507772,-0.369706,0.219028,0.120903,-0.555786,0.403751,0.187587,-0.627277,7.95172,0.265227,-6.72308,7.18987,
2,0.65871,-0.999993,1,0.00376837,-1,0.988313,0.00641298,-0.0439929,0.300221,-0.163829,0.576091,0.149898,-0.598484,0.507287,0.809432,-1.06984,-0.782147,8.16428,-1.73257,0.790532,2.36451,-2.29877,4.01437,
3,0.515295,-0.946896,-1,0.0237956,-0.551041,0.284873,-0.052537,-0.0516646,0.563311,-0.393016,0.569912,0.0872462,-0.566205,0.507217,0.0632657,-1.29911,0.257801,2.23739,-4.27176,-0.609448,-3.07747,1.65463,-0.878011,
4,-0.193275,0.947848,-1,0.916812,0.992683,0.283282,-0.112891,0.0251618,0.534407,-0.302992,-0.195737,-0.0882094,-0.367557,0.254893,-0.167007,-1.28405,2.0923,-2.43382,0.163086,-18.6936,-3.09232,4.09693,-6.42395,
5,0.969799,1,1,-0.275705,-1,1,-0.182278,-0.00591187,0.0631869,0.405098,-0.465948,0.0907231,-0.191279,-0.30964,-0.4315,-1.30548,-2.38093,-10.1153,15.2002,2.08891,6.41961,2.1562,-12.7766,
6,1,-0.99979,1,-0.982176,-1,0.729604,-0.233908,-0.0929026,0.0721103,0.736832,0.185011,0.207469,-0.289205,-0.175971,0.565717,-0.53993,-0.956207,6.1515,3.37037,13.5487,-0.187642,-5.14059,9.63757,
7,0.999985,-0.999998,1,-0.769745,-1,0.00345132,-0.232833,-0.0320918,0.565994,-0.101336,0.710845,-0.292895,-0.424943,0.425508,0.31646,-0.131998,2.02372,8.96394,-21.9048,5.89187,-14.2109,-1.39847,11.2034,
8,0.628495,-0.883644,-1,0.634134,0.853278,0.0566281,-0.250053,0.117301,0.808091,-0.491804,0.738924,-0.824791,-0.510277,0.428091,0.676916,-0.546471,2.97467,1.67981,-4.63984,-4.02594,-7.19491,-1.87136,-6.2275,
9,-0.251938,0.993862,-1,0.999409,0.994417,1,-0.255341,0.152438,0.721909,-0.351185,-0.257481,-0.521891,-0.322528,-0.293205,0.88423,0.137002,-0.444796,-3.85278,4.26608,-21.4099,9.48965,2.60875,-18.9229,
10,0.992187,0.999999,1,-0.448125,-1,1,-0.234215,-0.0281027,0.154915,0.554773,-0.415086,0.049408,-0.233819,-0.484538,0.794007,0.393876,-4.64867,-9.72765,21.4815,2.7706,12.6194,3.56804,1.1787,
11,1,-0.999772,1,-0.985165,-1,0.587121,-0.205088,-0.208501,0.184677,0.761445,0.303008,0.266164,-0.178516,0.167145,1.33617,0.748323,-2.89875,6.10491,-4.25206,16.0596,-0.991736,-0.366535,17.4318,
12,0.999408,-0.999977,1,-0.395707,-1,0.00686201,-0.138619,-0.210532,0.609056,0.0326769,0.83601,-0.193783,-0.216865,0.573318,1.33847,1.37,1.61561,7.40856,-16.3609,4.06206,-12.4881,-1.73811,-2.58458,
13,0.600837,-0.690246,-1,0.32642,0.907882,0.11518,-0.0884178,-0.0852912,0.798522,-0.469738,0.694456,-0.617866,-0.484971,0.154263,1.63187,0.814126,2.61688,0.978698,-6.01641,-5.15524,-5.40666,-6.31821,-10.3409,
14,-0.287542,0.999494,-1,0.534789,0.994078,1,-0.0386277,-0.0377971,0.629398,-0.333318,-0.295884,-0.428967,-0.149414,-0.305755,1.5647,1.02553,0.2261,-5.4727,4.48307,-20.7862,8.24178,12.611,-6.21717,
15,0.864449,1,1,-0.0342723,-1,1,-0.0351916,-0.0536649,-0.0524679,0.436838,-0.443149,0.0714043,0.515516,-0.0201985,1.81892,-0.695407,-0.279424,-14.3893,14.1724,1.31069,10.7194,11.5277,11.7217,
16,1,-0.999794,1,-0.723425,-1,1,-0.0797116,0.0244591,-0.136012,0.537913,0.222695,0.607,0.282441,0.573936,2.46249,-0.782795,2.42654,6.11034,-3.91865,15.4392,8.77719,-9.97678,-0.0674879,
17,0.999631,-1,1,-0.256882,-1,0.0081412,-0.0822253,0.18136,0.460134,-0.407576,0.708835,0.382093,-0.119591,0.521723,1.79317,-0.111618,2.56768,11.1564,-19.8019,4.29923,-12.0596,-6.84698,-0.600519,
18,0.549808,0.412507,-1,0.200886,0.861396,0.580551,-0.066,0.223285,0.690773,-0.763167,0.618107,0.380702,-0.212765,0.507126,0.699436,0.449855,0.579893,-0.772451,1.43128,-4.15123,-1.02913,-1.42103,-1.36739,
19,-0.317701,0.99983,-1,0.567051,0.99348,0.224414,-0.0436841,0.163045,0.381879,0.101082,-0.329088,0.230391,0.178955,0.382369,0.115792,0.390455,-1.82372,-6.06735,17.655,-19.8072,-3.70276,10.5162,-3.30884,
20,0.913172,0.999999,1,-0.0469714,-1,0.965397,-0.0408965,0.0999025,-0.104978,0.737,-0.448917,0.198617,0.54543,0.120344,0.403459,-0.171268,-0.892519,-9.27321,6.33271,1.54629,1.76221,4.25509,-5.24381,
21,1,-0.999996,1,-0.525417,-1,0.940269,-0.0485018,0.105145,0.0553186,0.554976,0.243992,0.348298,0.013743,0.268322,1.28712,-0.236182,0.335171,8.67569,-7.08655,16.1929,1.38899,-14.9284,6.66145,
22,0.999513,-0.999998,1,-0.163401,-1,0.00735639,-0.0533222,0.170769,0.591339,-0.375475,0.746615,-0.0403558,-0.507906,0.547193,0.817886,-0.381804,1.33441,8.93881,-18.4578,4.15988,-12.3137,-6.61219,-0.622719,
23,0.555063,0.29632,-1,0.369217,0.893186,0.127603,-0.109317,0.207285,0.744812,-0.700129,0.625669,-0.492799,-0.652457,0.175741,0.557968,-1.45962,0.258467,-0.582635,1.24154,-4.76899,-5.14734,-0.99342,-9.99253,
24,-0.314779,0.998888,-1,0.99255,0.99333,1,-0.191977,0.105185,0.499538,0.104768,-0.325842,-0.310463,-0.0618927,-0.270853,0.678864,-1.80924,-2.8384,-4.84418,16.4256,-19.5829,7.36725,16.2533,-5.94613,
25,0.937999,0.999993,1,-0.318068,-1,1,-0.257549,-0.137229,0.0398492,0.806693,-0.443273,0.12984,-0.0903894,-0.508762,0.751786,-1.10384,-5.39183,-7.95267,10.8241,1.72113,9.88077,-0.676993,3.96057,
26,1,-0.999935,1,-0.992186,-1,0.416149,-0.221049,-0.163885,0.276128,0.688952,0.19816,0.258557,-0.281338,0.209251,1.6946,0.781867,-0.100458,6.9033,-7.30409,16.8615,-2.04084,-3.90174,17.8233,
27,0.999997,-0.99976,1,-0.686662,-1,0.00344278,-0.168511,-0.0700731,0.631646,-0.199181,0.800986,-0.287085,-0.348254,0.548246,1.26588,0.904575,2.96127,5.81629,-16.4305,6.71905,-14.2171,-0.758555,-3.0264,
28,0.588066,0.183554,-1,0.569511,0.92295,0.0725656,-0.153763,0.0815925,0.740435,-0.617908,0.674705,-0.810989,-0.476588,0.134808,1.34632,-0.0131701,2.64357,-0.405063,-2.72869,-5.65903,-6.57154,-3.47155,-9.92027,
29,-0.319798,0.996943,-1,0.982394,0.993874,1,-0.155479,0.0571813,0.548176,0.0230609,-0.331422,-0.386966,-0.0959953,-0.31853,1.75461,-0.130274,-1.49439,-4.20776,14.5718,-20.4368,14.1809,12.9867,-6.02968,
30,0.924927,1,1,-0.196879,-1,1,-0.165446,-0.0557623,0.0229519,0.717469,-0.450065,0.231668,0.0476988,-0.472977,1.72226,-0.321353,-2.67808,-11.3914,8.46718,1.62209,12.6221,3.71518,4.22428,
31,1,-0.999929,1,-0.967023,-1,0.762065,-0.170271,-0.173864,0.0515275,0.601082,0.247379,0.495298,-0.0913098,0.212758,2.12131,0.0441955,-2.15823,6.8245,-6.60818,16.1515,0.0028097,-4.07088,17.9045,
32,0.999889,-0.999997,1,-0.411609,-1,0.00193327,-0.120147,-0.133863,0.544848,-0.0548119,0.765838,-0.0496357,-0.191021,0.527422,1.98644,0.993617,2.14392,8.64851,-16.3168,4.89934,-15.6637,-2.05361,-1.44331,
