step,action0,action1,action2,action3,action4,action5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,
0,1,0.0146173,1,-0.00216997,-0.0989621,-0.0637751,-0.0589825,-0.0958694,-0.0682731,0.0393388,0.0544321,-0.0289061,-0.00735012,0.0565116,0.0880615,0.0731131,0.0495405,0.0579422,0.0307248,0.0719875,0.047868,0.0731876,0.0648389,
1,1,-0.989286,-1,-0.117155,-0.969054,-0.0291422,-0.0277434,-0.0420138,0.129706,-0.0653805,0.132862,0.0160894,-0.0187974,0.0103531,1.13881,0.573872,0.987585,6.68133,-3.05189,5.9885,1.41258,-0.0948903,-1.24086,
2,1,-0.995591,-1,-0.091694,-0.975046,-0.291559,-0.0200274,0.0270518,0.569876,-0.466535,-0.247908,0.0637568,-0.301951,-0.00168167,0.810601,-0.220471,1.31864,7.23105,-7.27718,-11.4946,-0.287148,-7.18398,0.14983,
3,-1,0.00778408,-1,0.0286447,0.359638,-0.459097,-0.0470131,0.0978647,0.665587,-0.557789,-0.438578,-0.0638523,-0.576997,-0.0808313,0.223716,-0.686018,1.50952,-0.959859,1.24096,1.06507,-3.54227,-3.74296,-2.46737,
4,-1,0.999997,1,0.731926,0.999965,0.0723538,-0.0841685,0.168851,-0.0496263,0.0970044,-0.402159,-0.276201,-0.23072,-0.303201,-0.835587,-0.980624,0.981451,-17.4555,11.8043,-0.0746355,-2.33604,10.9029,-4.41597,
5,1,-0.0627859,1,-0.0835151,-0.222826,0.490134,-0.1382,0.0760899,-0.558844,0.485414,0.245135,0.00553038,-0.0194556,-0.555692,1.07104,-0.621548,-3.24696,0.953968,1.82346,14.2183,8.24892,-1.5721,0.191404,
6,1,-0.999974,1,-0.810366,-0.999732,0.0324578,-0.121467,0.0112878,0.12027,0.116614,0.548024,0.205043,-0.082491,-0.11496,2.36478,0.768218,-0.413098,14.6268,-5.34223,-0.186575,1.31677,-0.609389,12.108,
7,1,-0.995403,-1,-0.394649,-0.971144,-0.525308,-0.09406,0.026043,0.703594,-0.4511,0.545665,-0.108609,-0.225825,0.357819,1.00374,0.228435,0.766536,6.98717,-9.97387,-0.0732836,-10.4097,-4.06495,6.12946,
8,-1,0.277526,-1,0.130439,0.562021,-0.572431,-0.112531,0.0881035,0.770188,-0.556767,-0.250165,-0.537324,-0.492119,0.159012,0.681793,-0.648509,1.32737,-1.83603,1.53566,-18.5993,-6.3129,-5.21035,-9.14428,
9,-1,0.999999,1,0.94084,0.999989,0.225497,-0.140912,0.108861,-0.0438447,0.206124,-0.466305,-0.512241,-0.213832,-0.443272,0.11001,-0.777578,-0.750648,-19.5069,13.9247,2.21413,5.92979,9.9787,-11.0285,
10,1,-0.172759,1,-0.14808,-0.398368,0.571985,-0.185455,-0.0408375,-0.572654,0.577818,0.222407,0.162601,0.0611244,-0.589344,2.5494,0.121258,-3.01892,1.26686,4.64774,10.4656,12.9777,-3.46624,1.89559,
11,1,-0.999997,1,-0.802679,-0.99995,-0.0344226,-0.100787,-0.0189749,0.122492,0.067424,0.412408,0.385747,-0.0448025,-0.0103663,3.20592,1.6987,0.3842,17.2843,-15.1798,3.94102,-0.159087,-0.448271,15.2155,
12,1,-0.989113,-1,-0.157717,-0.946268,-0.567822,-0.0428394,-0.0104296,0.705852,-0.631191,0.571472,-0.0374847,-0.15521,0.489092,1.52406,0.679743,0.34611,5.84708,-8.06037,1.81261,-12.5249,-3.74393,4.99365,
13,-1,0.195774,-1,0.0483404,0.462302,-0.558165,-0.0486426,0.0256109,0.740507,-0.552375,-0.222594,-0.466956,-0.46953,0.160635,1.5358,-0.457223,0.749282,-1.56637,4.78226,-19.2966,-5.36507,-6.59204,-12.0652,
14,-1,0.999999,1,0.674538,0.999981,0.243645,-0.0684641,0.0388171,-0.0351619,0.226115,-0.468962,-0.507348,-0.26211,-0.510756,0.867804,-0.531001,-0.624296,-18.8407,12.9631,2.28835,3.84106,8.64052,-11.4397,
15,1,-0.0687266,1,-0.0682969,-0.34889,0.596907,-0.110646,-0.0784707,-0.561685,0.510304,0.273399,0.0939658,0.353642,-0.334687,3.34807,-0.815238,-1.87595,0.973658,-1.29882,15.2559,13.6122,13.4456,9.65141,
16,1,-0.999959,1,-0.57439,-0.999667,0.102059,-0.0727896,-0.0329728,0.0336056,0.0833438,0.486673,0.505567,0.260996,0.15858,4.01742,1.26961,1.74413,14.1516,-9.91905,-0.598532,4.26598,-5.23841,11.0698,
