step,action0,action1,action2,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,
0,-0.0115275,-0.00460935,0.728707,1.24705,-0.00479347,-0.00341365,0.00196694,0.0027216,0.00177735,0.00231625,0.00391279,0.00440308,0.00365566,0.00247703,
1,0.0372713,0.113555,0.722751,1.24667,-0.00482838,-0.0034887,0.00178052,0.00697701,0.0162628,-0.0976448,-0.0126563,-0.0231074,-0.0501136,1.06007,
2,-0.160324,0.182184,0.712277,1.24549,-0.00465811,-0.00351741,0.00141795,0.0196108,0.0395968,-0.198117,0.0548899,0.0159585,-0.040585,2.09709,
3,0.349114,0.246015,0.707348,1.2435,-0.00493153,-0.00438963,0.00114694,0.0404646,0.0466208,-0.297472,-0.123694,-0.233539,-0.0279395,3.11508,
4,-0.744465,0.310869,0.684678,1.24072,-0.0041168,-0.00426456,0.000964969,0.0693614,0.0929933,-0.398321,0.325981,0.264404,-0.0182224,4.1079,
5,0.938,0.367016,0.698629,1.23715,-0.00514964,-0.00656792,0.000880729,0.106126,0.051325,-0.494479,-0.584181,-0.838638,-0.00428779,5.08201,
6,-0.938876,0.430966,0.653658,1.23279,-0.00512949,-0.00780725,0.000859492,0.150603,0.1414,-0.596094,0.58667,0.527412,-0.00128263,6.03614,
7,0.830548,0.283199,0.615596,1.22864,-0.00449861,-0.00948779,0.000861866,0.200564,0.214082,-0.376358,-0.40387,-0.964066,-0.000863762,6.33173,
8,-0.978509,0.153234,0.499311,1.22678,-0.00301181,-0.0128006,0.000394137,0.251546,0.436318,-0.0938507,0.767494,0.137427,-0.106255,6.4265,
9,0.794636,-0.0578051,0.494829,1.22701,-0.00140486,-0.0177981,-0.000340962,0.303286,0.477751,0.143788,-0.367887,-1.38258,-0.0688122,6.52341,
10,-0.912808,0.118085,0.439904,1.22899,-0.00077759,-0.0243504,-0.0026419,0.355996,0.613117,0.346651,0.524093,-0.255802,-0.500358,6.66667,
11,0.927251,-0.0534684,0.470257,1.23242,-0.000913176,-0.0319988,-0.00639206,0.409991,0.629533,0.501305,-0.556104,-1.65346,-0.431965,6.84454,
