step,action0,action1,action2,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,
0,-0.00278655,0.000299634,0.995739,1.25328,-0.00330511,0.00483479,0.00243509,0.00213707,0.00405011,0.0025651,0.00225809,0.00298596,0.00355,0.00384313,
1,-0.00262255,0.085327,0.994409,1.25287,-0.00348949,0.00455025,0.00221649,0.00795534,0.0234059,-0.105121,-0.0404788,-0.0642564,-0.0587654,1.44884,
2,-0.00225653,0.120671,0.993966,1.2516,-0.00373889,0.00391518,0.0017728,0.0252665,0.0505817,-0.213453,-0.0200668,-0.0919627,-0.0516309,2.87708,
3,-0.00177926,0.15474,0.993491,1.24946,-0.00381065,0.00308709,0.00140229,0.0539563,0.0772295,-0.321647,0.00129673,-0.114823,-0.0411458,4.29357,
4,-0.00120148,0.191843,0.992913,1.24645,-0.00372914,0.00208462,0.0011183,0.0939313,0.10249,-0.429537,0.01782,-0.135466,-0.0303224,5.69835,
5,-0.000534922,0.233241,0.992207,1.24259,-0.00354194,0.000928111,0.000918107,0.145097,0.125848,-0.536806,0.027369,-0.153259,-0.0203387,7.09127,
6,0.000206101,0.260681,0.990978,1.23787,-0.00331152,-0.000357594,0.000794635,0.207358,0.156554,-0.621784,0.041323,-0.175379,-0.0255188,8.4281,
7,0.00142732,-0.109196,0.978635,1.23443,-0.00191555,-0.00247646,-0.000371626,0.276286,0.380236,-0.24291,0.287696,-0.34718,-0.245159,8.8249,
8,0.00323842,-0.229469,0.911156,1.23386,0.000225194,-0.00561881,-0.00478044,0.349003,0.515181,0.0939717,0.238818,-0.434362,-0.842958,9.37322,
9,0.00535585,-0.247911,0.632886,1.23579,0.00154724,-0.00929275,-0.0142632,0.426254,0.60825,0.380505,0.0891207,-0.481784,-1.51777,9.9575,
10,0.00762867,-0.222372,0.0305337,1.23978,0.00158,-0.0132364,-0.0288662,0.507135,0.670582,0.604904,-0.0804624,-0.502483,-2.12462,10,
11,0.009926,-0.166773,-0.463326,1.24525,0.00028832,-0.0172229,-0.0476534,0.587838,0.693467,0.752414,-0.240957,-0.492369,-2.56315,9.9159,
12,0.0121213,-0.0967852,-0.674989,1.2516,-0.00216145,-0.0210325,-0.0691656,0.66346,0.684163,0.821627,-0.369802,-0.45821,-2.80576,9.01052,
13,0.0141317,-0.0305223,-0.741424,1.25822,-0.00545245,-0.0245215,-0.0919277,0.731142,0.658642,0.823898,-0.451265,-0.412452,-2.87701,7.92731,
14,0.015925,0.012953,-0.73736,1.26466,-0.00918252,-0.0276339,-0.114741,0.7901,0.627827,0.785295,-0.478317,-0.363479,-2.81518,6.63108,
15,0.0174012,0.0144804,-0.587052,1.27108,-0.0130552,-0.0301964,-0.136077,0.825216,0.55159,0.811299,-0.49103,-0.281573,-2.53912,2.57043,
16,0.0185534,0.0315538,-0.47253,1.27751,-0.0170098,-0.0321964,-0.155643,0.836427,0.50907,0.790096,-0.494864,-0.222041,-2.36712,0.473229,
17,0.0194792,0.0346292,-0.40009,1.28363,-0.0208647,-0.0338036,-0.174064,0.835723,0.495856,0.733917,-0.460006,-0.183856,-2.25206,-0.518542,
18,0.0202621,0.0258897,-0.358894,1.28921,-0.0243057,-0.0351627,-0.19176,0.829245,0.497018,0.660859,-0.400522,-0.155918,-2.17213,-1.09848,
19,0.020912,0.0217957,-0.325235,1.2942,-0.027296,-0.0362911,-0.208875,0.818398,0.497642,0.587495,-0.347312,-0.126195,-2.10674,-1.61255,
20,0.0214224,0.0203505,-0.294678,1.29861,-0.0298758,-0.0371772,-0.225498,0.80365,0.498113,0.514018,-0.29791,-0.0953395,-2.04894,-2.07403,
21,0.021789,0.0205454,-0.264652,1.30243,-0.0320705,-0.0378138,-0.241673,0.7854,0.498668,0.440471,-0.25103,-0.063827,-1.99486,-2.48791,
22,0.0220099,0.0218459,-0.233593,1.30566,-0.0338973,-0.0381973,-0.257421,0.764025,0.49947,0.366813,-0.205948,-0.0320486,-1.94214,-2.85541,
23,0.0220845,0.0239545,-0.200512,1.30829,-0.0353689,-0.0383268,-0.272746,0.7399,0.500648,0.292944,-0.162213,-0.000353171,-1.88928,-3.17542,
24,0.0220141,0.0266845,-0.164777,1.31034,-0.0364948,-0.0382045,-0.287644,0.713415,0.502317,0.218721,-0.11949,0.0309297,-1.83524,-3.44542,
25,0.0218011,0.0298944,-0.126014,1.31179,-0.0372818,-0.0378348,-0.302102,0.684985,0.504591,0.143969,-0.0774851,0.0614808,-1.77927,-3.66197,
26,0.0214498,0.0334547,-0.084082,1.31264,-0.0377347,-0.0372249,-0.316102,0.655052,0.507582,0.068496,-0.0359126,0.0909891,-1.72088,-3.82109,
27,0.0209657,0.0372338,-0.0390762,1.31288,-0.0378558,-0.0363842,-0.329625,0.624092,0.511399,-0.00790148,0.00551887,0.119154,-1.65976,-3.91864,
28,0.0203554,0.041095,0.00866373,1.31251,-0.037645,-0.0353247,-0.342647,0.592615,0.516146,-0.0854218,0.0471021,0.145689,-1.5958,-3.95061,
29,0.0196272,0.0449008,0.058557,1.31151,-0.0371,-0.0340606,-0.355146,0.561159,0.521915,-0.164246,0.0891179,0.170329,-1.52907,-3.91351,
30,0.0187903,0.0485214,0.109812,1.30988,-0.0362164,-0.0326077,-0.367101,0.530286,0.528778,-0.244528,0.131817,0.192837,-1.45982,-3.80468,
31,0.0178551,0.051847,0.161487,1.30759,-0.0349878,-0.0309842,-0.378494,0.500578,0.536783,-0.326379,0.175399,0.213013,-1.38845,-3.62264,
32,0.0168325,0.054799,0.212586,1.30465,-0.0334068,-0.0292091,-0.389309,0.47262,0.545947,-0.409865,0.219994,0.230695,-1.31546,-3.36723,
33,0.0157344,0.0573404,0.262153,1.30103,-0.0314649,-0.0273031,-0.399535,0.446993,0.556257,-0.495007,0.265651,0.245766,-1.24137,-3.03976,
34,0.0145729,0.0594805,0.309384,1.29672,-0.0291537,-0.0252872,-0.409167,0.424264,0.567666,-0.581776,0.312331,0.258155,-1.16673,-2.64292,
35,0.0133605,0.0612758,0.353691,1.29171,-0.0264655,-0.0231831,-0.418202,0.404973,0.580099,-0.67011,0.359914,0.267833,-1.09198,-2.18052,
36,0.0121097,0.062825,0.394753,1.28599,-0.0233937,-0.0210123,-0.426639,0.389624,0.593459,-0.759919,0.408214,0.274811,-1.01743,-1.65725,
37,0.0108328,0.0642597,0.432522,1.27955,-0.0199335,-0.0187964,-0.434481,0.378685,0.607634,-0.851096,0.456991,0.279131,-0.943209,-1.07823,
38,0.00954194,0.0657343,0.467199,1.27237,-0.0160821,-0.0165564,-0.44173,0.37258,0.622507,-0.943532,0.505982,0.28086,-0.869217,-0.448635,
39,0.00824887,0.0674145,0.499196,1.26445,-0.0118387,-0.0143126,-0.448387,0.371695,0.637963,-1.03712,0.554907,0.280083,-0.795133,0.226658,
40,0.00696494,0.0694694,0.529082,1.25577,-0.00720512,-0.0120847,-0.454449,0.376379,0.653892,-1.13175,0.603493,0.276898,-0.720396,0.943378,
41,0.005701,0.0720655,0.557536,1.24634,-0.00218489,-0.00989162,-0.459907,0.386948,0.670199,-1.22733,0.651472,0.271412,-0.644223,1.69809,
42,0.00446744,0.0753643,0.585293,1.23613,0.0032161,-0.00775125,-0.464747,0.403698,0.686803,-1.32377,0.698589,0.263736,-0.565618,2.48837,
43,0.00327408,0.0795221,0.613086,1.22515,0.00899001,-0.00568069,-0.468943,0.426907,0.703642,-1.42096,0.744588,0.253985,-0.483396,3.31283,
44,0.00213024,0.0846919,0.641598,1.21339,0.0151269,-0.00369607,-0.472462,0.456847,0.720674,-1.51877,0.789209,0.242277,-0.396192,4.17119,
45,0.00104469,0.0910237,0.671387,1.20085,0.0216147,-0.00181257,-0.475257,0.493793,0.737877,-1.61702,0.832166,0.228731,-0.302479,5.06414,
46,2.56129e-05,0.0986625,0.702819,1.18752,0.0284388,-4.44394e-05,-0.47727,0.538027,0.755258,-1.71547,0.873139,0.213466,-0.200579,5.99321,
47,-0.000660277,0.175108,0.68749,1.1734,0.0352197,0.00114561,-0.478392,0.589849,0.767825,-1.8145,0.825598,0.0897266,-0.0803333,6.96107,
48,-0.000872238,0.126376,0.595229,1.15859,0.0419531,0.00151337,-0.478344,0.649092,0.871901,-1.80317,0.873389,-0.0284051,-0.0949446,7.65863,
49,-0.000182024,-0.0621111,-0.367423,1.1457,0.0490268,0.000315818,-0.482491,0.709467,1.22094,-1.42975,0.878848,-0.260903,-0.905796,7.47064,
50,0.00131441,-0.070094,-0.847217,1.13549,0.055377,-0.00228055,-0.492713,0.764082,1.42749,-1.13815,0.705134,-0.38001,-1.61506,6.22054,
51,0.00317214,-0.0071269,-0.928732,1.12727,0.0602004,-0.00550381,-0.507329,0.804271,1.50743,-0.93025,0.493809,-0.406334,-1.95658,3.38693,
52,0.00504204,0.0538446,-0.944897,1.12035,0.0635138,-0.00874825,-0.523396,0.821036,1.54247,-0.815869,0.343394,-0.40501,-2.05654,1.05848,
53,0.00691269,0.0844034,-0.945661,1.11404,0.065957,-0.0119941,-0.539808,0.823518,1.57106,-0.770521,0.274086,-0.403917,-2.0321,-0.416851,
54,0.00875213,0.0917715,-0.932019,1.10789,0.0680836,-0.0151859,-0.555567,0.814563,1.58085,-0.773714,0.263924,-0.39238,-1.89747,-1.8102,
55,0.0105259,0.0785663,-0.908715,1.10159,0.0703024,-0.0182638,-0.570078,0.794713,1.58475,-0.804708,0.296652,-0.377759,-1.73029,-3.15087,
