step,action0,action1,action2,action3,action4,action5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,
0,-0.000611674,0.000863977,0.664908,0.994239,0.994239,1,1.24705,-0.00479347,-0.00341365,0.00196694,0.0027216,-0.00144531,-0.000367506,0.00282558,0.00440308,0.00365566,0.00247703,0.00289711,0.00153624,0.00359938,0.0023934,0.00365938,0.00324194,
1,-0.706424,-0.0601631,-0.12956,0.994192,0.994192,0.999999,1.24543,0.00326873,0.0072636,-0.00383241,0.0481757,0.00611199,0.00201879,0.0623686,0.222074,-0.409347,0.968595,1.1502,-0.757576,10,0.775538,0.427506,10,
2,0.640289,-0.0825602,0.246509,0.994067,0.994067,0.999999,1.24117,0.00854743,0.00755028,0.00169373,0.128922,0.0102927,0.00476971,0.24028,0.283831,-0.651912,0.324221,-0.996573,1.92752,9.11201,0.32735,0.285269,10,
3,0.291671,-0.0413971,0.0548561,0.993878,0.993878,0.999999,1.23486,0.0093396,0.00229351,0.00859762,0.221763,0.0138161,0.00745898,0.533818,0.130609,-0.907323,-0.255834,-0.397196,-0.265837,10,0.545638,0.39785,10,
4,0.307119,0.048234,-0.00436458,0.993648,0.993648,1,1.2274,0.0025645,-0.00285394,0.00200018,0.337512,0.0184742,0.0111721,0.931655,-0.118628,-0.824807,-1.1059,-0.416441,-1.59012,10,0.571468,0.522701,10,
5,-0.624634,0.0694139,0.00219788,0.993472,0.993472,1,1.22186,-0.00333586,-0.000488208,-0.0143453,0.445377,0.0223251,0.0148969,1.15959,-0.102232,-0.618208,-0.363991,0.960143,-2.42236,10,0.394234,0.38372,10,
6,0.22599,0.0445985,0.309645,0.993315,0.993315,0.999999,1.217,-0.005508,0.0021929,-0.0223366,0.543355,0.0234087,0.0169381,1.22553,0.0221531,-0.610941,-0.185578,-0.29853,0.433424,10,-0.0629729,0.149113,2.00684,
7,0.0215785,0.0231875,0.278196,0.993143,0.993143,0.999999,1.21177,-0.0056687,0.00104367,-0.0169828,0.653596,0.022907,0.0178215,1.21166,0.0731328,-0.698656,0.109919,-0.0257639,0.941747,10,-0.0548387,0.0812464,-4.55586,
8,-0.0392434,0.0228225,0.309456,0.992979,0.992979,0.999999,1.20692,-0.00477966,0.00119577,-0.0122936,0.784979,0.0224694,0.0184013,1.1636,0.0567357,-0.414621,0.013166,0.0534733,-0.296695,10,-0.0412457,0.0885747,-6.94996,
9,0.559305,0.02284,0.29753,0.992909,0.992909,0.999998,1.20485,-0.00517639,-0.00193954,-0.00922409,0.873843,0.0224251,0.0191589,1.10575,0.0467814,-0.133524,-0.0969294,-0.824577,1.13418,6.79087,0.0213922,0.0887894,-7.28966,
10,0.149525,0.0301802,0.141655,0.992894,0.992894,0.999999,1.20441,-0.00532053,-0.0060326,-0.00238348,0.905814,0.0237018,0.0200414,1.04944,-0.00274999,0.00683894,0.0368224,-0.194828,0.514181,1.76091,0.26137,0.121604,-6.68601,
11,0.159378,0.0974333,0.25903,0.992905,0.992905,0.999999,1.20475,-0.00547532,-0.00813664,0.00236694,0.908319,0.0254982,0.0207832,0.999763,-0.0305906,0.0699054,-0.0718534,-0.20797,0.458435,-0.799209,0.193274,0.0661382,-5.7026,
12,0.0614494,0.127318,0.344487,0.992928,0.992928,0.999999,1.20542,-0.0063103,-0.00922877,0.00478596,0.897191,0.0268235,0.0211495,0.958379,-0.047076,0.0916019,-0.128598,-0.0777578,0.172692,-1.81617,0.13879,0.0281738,-4.64725,
13,0.0519149,0.126758,0.429828,0.992954,0.992954,0.999999,1.20616,-0.00759256,-0.00979882,0.00556729,0.881431,0.0275933,0.0212206,0.925189,-0.0473731,0.0918792,-0.181424,-0.0646792,0.0361686,-2.04422,0.0601543,-0.0066854,-3.67035,
14,0.0478413,0.110577,0.475054,0.992977,0.992977,0.999999,1.20686,-0.00909758,-0.0102955,0.0055394,0.865583,0.0278577,0.0210872,0.89928,-0.0350983,0.0821775,-0.188255,-0.0586767,-0.0346191,-1.88744,0.0109399,-0.0240095,-2.83193,
15,0.0417776,0.0885407,0.49489,0.992998,0.992998,0.999999,1.20747,-0.0105344,-0.0107322,0.00510025,0.851642,0.0278261,0.0208678,0.879471,-0.0172129,0.0689097,-0.167399,-0.0500969,-0.0694774,-1.5914,-0.0154922,-0.029165,-2.14554,
16,0.0348327,0.0659854,0.500851,0.993015,0.993015,0.999999,1.20796,-0.0117493,-0.0110945,0.00447224,0.840189,0.0276429,0.0206368,0.864571,0.00197169,0.0554248,-0.13467,-0.0404637,-0.0836626,-1.27587,-0.02806,-0.0276165,-1.60161,
17,0.0292864,0.0455629,0.499497,0.993028,0.993028,0.999999,1.20836,-0.0126921,-0.0113858,0.00378286,0.831149,0.0273947,0.0204336,0.853518,0.0198996,0.0432696,-0.100703,-0.0327855,-0.086056,-0.992026,-0.0324422,-0.0226404,-1.18031,
18,0.0243922,0.0281586,0.494151,0.993038,0.993038,0.999999,1.20866,-0.0133693,-0.011621,0.00310305,0.824186,0.0271329,0.0202749,0.845415,0.0360903,0.0330551,-0.068298,-0.0260798,-0.082088,-0.756694,-0.032121,-0.0169701,-0.860734,
19,0.0228588,0.0147332,0.487737,0.993046,0.993046,0.999999,1.20889,-0.0138418,-0.0118187,0.00242241,0.818906,0.0268905,0.0201718,0.839547,0.047167,0.0246989,-0.0499553,-0.0238654,-0.0863574,-0.570409,-0.028132,-0.00930202,-0.618764,
20,-0.00452161,0.00773147,0.481529,0.993052,0.993052,0.999999,1.20906,-0.0141765,-0.0118643,0.00149035,0.814947,0.0266873,0.0201165,0.835337,0.0544455,0.018259,-0.033536,0.012118,-0.144976,-0.425568,-0.022749,-0.0049229,-0.443028,
21,-0.000642118,0.00693414,0.4822,0.993056,0.993056,0.999999,1.20919,-0.0144304,-0.0117926,0.000304453,0.811991,0.0264824,0.020076,0.832331,0.0619569,0.0129927,-0.0286161,0.00715208,-0.150784,-0.317747,-0.0272479,-0.00509499,-0.315495,
22,-0.00952265,0.00627166,0.477316,0.993059,0.993059,0.999999,1.20927,-0.0146124,-0.0116903,-0.00097419,0.809801,0.0262718,0.020038,0.830193,0.0694349,0.0086186,-0.016389,0.0188537,-0.16817,-0.233701,-0.0250274,-0.00438754,-0.224132,
23,-0.00636878,0.0054296,0.473071,0.993061,0.993061,0.999998,1.20933,-0.014703,-0.0115589,-0.00228298,0.808183,0.0260712,0.0200019,0.828677,0.0776376,0.00512525,-0.00561005,0.0147657,-0.158831,-0.173339,-0.0245633,-0.00452014,-0.158646,
24,-0.0127273,0.00462897,0.46598,0.993062,0.993062,0.999998,1.20936,-0.0146898,-0.0114084,-0.003564,0.806981,0.0258904,0.0199683,0.827604,0.0855963,0.00255803,0.00908894,0.0230819,-0.1613,-0.129112,-0.0205751,-0.00386856,-0.112193,
25,-0.0108049,0.00366763,0.46025,0.993062,0.993062,0.999998,1.20937,-0.0145681,-0.0112363,-0.00479921,0.806071,0.0257317,0.0199373,0.826846,0.0938958,0.000849243,0.0216669,0.0205124,-0.147732,-0.0991243,-0.0188217,-0.00380898,-0.0791066,
