step,action0,action1,action2,action3,action4,action5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,
0,-0.269832,0.761592,-0.000743699,0.954187,0.760585,0.761503,1.24705,-0.00479347,-0.00341365,0.00196694,0.0027216,-0.00144531,-0.000367506,0.00282558,0.00440308,0.00365566,0.00247703,0.00289711,0.00153624,0.00359938,0.0023934,0.00365938,0.00324194,
1,-0.0432214,-0.685317,0.280666,0.935039,0.762566,0.761832,1.24615,0.00213673,0.00329031,0.0029751,0.00517163,0.00553006,0.00095361,0.0462415,0.18401,-0.229399,0.930033,0.760565,0.237176,0.705842,0.765018,0.472415,10,
2,0.232568,-0.685317,0.144209,0.901349,0.764157,0.762496,1.24319,0.00620198,0.00868809,-0.00384643,0.0349518,0.00933389,0.00362128,0.178231,0.0795005,-0.508312,0.0987526,0.59747,-1.9151,6.68094,0.241488,0.224722,10,
3,0.440177,-0.685317,0.22425,0.859999,0.765481,0.762848,1.23817,0.00371779,0.0131882,-0.0275412,0.102777,0.0102886,0.00503447,0.399462,-0.077019,-0.741764,-0.755925,0.518389,-4.04127,10,0.0349739,0.151108,10,
4,0.584005,-0.685317,0.497722,0.812868,0.766649,0.76318,1.2314,-0.00683342,0.0171628,-0.0704493,0.201423,0.0103827,0.00637233,0.713511,-0.346,-0.935017,-1.95411,0.456205,-6.76307,10,0.018207,0.200274,10,
5,0.516859,-0.685317,0.663881,0.83386,0.767783,0.76364,1.22423,-0.0267054,0.0210313,-0.134972,0.33908,0.00738281,0.00822181,1.01626,-0.581898,-0.835572,-2.88004,0.509039,-9.09837,10,-1.04383,0.217823,10,
6,0.593714,0.577031,0.673136,0.80308,0.768922,0.763964,1.21722,-0.0528437,0.0249191,-0.214722,0.529763,-0.006715,0.00952508,1.13473,-0.707365,-0.944021,-3.63708,0.453569,-10,10,-2.41127,0.109091,7.13582,
7,0.63234,0.177892,0.362887,0.781991,0.769599,0.764103,1.2093,-0.0747568,0.0272348,-0.276885,0.78791,-0.0200955,0.0100869,1.15344,-0.343833,-1.0027,-1.81666,0.157165,-4.71707,10,-0.849962,0.0363736,-1.39001,
8,0.357375,0.408084,0.0619387,0.868433,0.76984,0.764091,1.20277,-0.0834189,0.0280589,-0.304735,0.978662,-0.0215489,0.0100352,1.12493,-0.108058,-0.628605,-0.34793,0.0561278,-2.3324,10,0.468206,-0.0460403,-5.16055,
9,0.0887137,0.761536,-0.323978,0.912115,0.769751,0.763943,1.19897,-0.0785454,0.0277522,-0.308254,1.04407,-0.0106189,0.00944309,1.07786,0.241882,-0.342131,1.56631,-0.108858,1.49114,3.2182,2.27256,-0.0942032,-6.29988,
10,-0.252119,0.755185,-0.434239,0.947123,0.768189,0.763809,1.19737,-0.0603618,0.0224169,-0.274581,1.04474,0.0122615,0.00890131,1.02762,0.480988,0.00513713,2.01181,-1.74432,6.05125,-2.28165,2.36527,0.015879,-6.10926,
11,-0.591613,0.524297,-0.471639,0.972053,0.760529,0.763925,1.19922,-0.0485704,-0.00360225,-0.210175,1.0068,0.0251049,0.00936773,0.981631,0.598585,0.426858,1.05011,-4.8033,10,-7.50961,0.980974,0.0864093,-5.33388,
12,-0.700726,-0.323362,-0.608525,0.979195,0.74488,0.764077,1.20358,-0.0428833,-0.0560235,-0.105582,0.919425,0.0292129,0.00997895,0.942778,0.772435,0.613666,0.452602,-8.38334,10,-10,0.14122,0.0658595,-4.37036,
13,-0.676475,-0.739495,-0.559348,0.977939,0.723205,0.76415,1.20831,-0.0410378,-0.127308,0.0290786,0.770739,0.0287099,0.0102751,0.911501,0.648275,0.565596,-0.0159633,-8.36073,10,-10,-0.183116,0.0163914,-3.46118,
14,-0.70325,-0.713992,-0.258272,0.979803,0.707557,0.764155,1.21297,-0.0434568,-0.178041,0.10711,0.55945,0.0270213,0.0102937,0.887037,0.254525,0.614808,-0.555107,-4.6727,5.57275,-10,-0.24066,-0.00973063,-2.67986,
15,-0.717886,-0.417013,-0.0348164,0.980915,0.698898,0.764114,1.21801,-0.0495692,-0.205912,0.13031,0.316315,0.0248741,0.0101312,0.868286,0.00665645,0.642304,-0.949722,-2.49799,0.789662,-10,-0.290229,-0.0281741,-2.03093,
16,-0.694119,0.0638096,0.114016,0.979733,0.694314,0.764049,1.22298,-0.0583854,-0.220622,0.126733,0.0710375,0.0224479,0.00986786,0.85422,-0.150265,0.592849,-1.23851,-1.30456,-1.38606,-10,-0.310162,-0.0357511,-1.50686,
17,-0.624604,0.426516,0.224544,0.975822,0.691854,0.763981,1.22726,-0.0691432,-0.228502,0.112187,-0.145534,0.0200312,0.00959314,0.843876,-0.260472,0.467737,-1.4477,-0.724505,-2.10018,-10,-0.287439,-0.0320351,-1.09772,
18,-0.516646,0.606682,0.276606,0.96941,0.690117,0.763931,1.23035,-0.0812279,-0.234063,0.0949369,-0.243287,0.017919,0.00939142,0.836388,-0.303448,0.305694,-1.56631,-0.747415,-2.15803,-6.30932,-0.243857,-0.0194441,-0.790269,
19,-0.391022,0.687459,0.285368,0.961331,0.687931,0.763912,1.23215,-0.0938882,-0.241054,0.078421,-0.263245,0.0162513,0.0093164,0.831004,-0.294866,0.146199,-1.59929,-1.03406,-1.9479,0.580624,-0.177925,-0.00135002,-0.567732,
20,-0.255803,0.724664,0.277714,0.951566,0.684946,0.763932,1.23271,-0.106568,-0.250592,0.0640222,-0.24095,0.01519,0.00939866,0.827129,-0.265941,-0.00542859,-1.57739,-1.36061,-1.64396,4.9381,-0.0945265,0.0192621,-0.409307,
21,-0.114241,0.742542,0.270166,0.939651,0.681236,0.763995,1.23208,-0.118944,-0.262436,0.052129,-0.185279,0.014836,0.00964859,0.824325,-0.23693,-0.152038,-1.52724,-1.60424,-1.33027,8.95714,-0.00385713,0.0401137,-0.297327,
22,0.0275085,0.751412,0.266332,0.925229,0.677053,0.764097,1.2303,-0.130853,-0.275773,0.0426238,-0.0986356,0.0151989,0.010061,0.822276,-0.21332,-0.293556,-1.46227,-1.73082,-1.04987,10,0.0830932,0.0595926,-0.21865,
23,0.163364,0.75593,0.267809,0.907957,0.672712,0.764236,1.2274,-0.142215,-0.289598,0.0351772,0.0169875,0.0162149,0.0106191,0.820757,-0.198108,-0.429682,-1.39156,-1.72352,-0.815774,10,0.158839,0.0763938,-0.163592,
24,0.287636,0.758287,0.275313,0.887664,0.668564,0.764404,1.22345,-0.153016,-0.302797,0.0294193,0.160659,0.0177718,0.0112967,0.819609,-0.193094,-0.559191,-1.32154,-1.57052,-0.626715,10,0.218627,0.0895096,-0.125209,
25,0.395196,0.759543,0.289202,0.864698,0.664993,0.764593,1.21849,-0.163282,-0.31415,0.0250184,0.333081,0.0197284,0.0120608,0.818718,-0.199493,-0.679104,-1.25681,-1.25659,-0.475193,10,0.259739,0.0982024,-0.0986863,
26,0.480892,0.760216,0.309292,0.840686,0.662435,0.764795,1.21262,-0.17307,-0.322279,0.0217136,0.53718,0.0219279,0.0128735,0.818002,-0.217835,-0.782898,-1.20017,-0.757311,-0.351558,10,0.280818,0.101928,-0.0809363,
27,0.537343,0.760551,0.333067,0.820178,0.661397,0.764998,1.20604,-0.182447,-0.325579,0.0193206,0.778731,0.0242051,0.0136924,0.817401,-0.246158,-0.856473,-1.1508,-0.0415491,-0.24671,10,0.280756,0.100116,-0.0704295,
28,0.433583,0.760245,0.255964,0.849409,0.66087,0.765184,1.19983,-0.191048,-0.327253,0.0178124,0.963292,0.0262001,0.0144388,0.816766,-0.17446,-0.717836,-1.00069,-0.430702,-0.157246,10,0.221525,0.0873239,-0.0800833,
29,0.126632,0.759577,0.0782085,0.906265,0.6595,0.765321,1.19526,-0.198364,-0.331604,0.0168413,1.0284,0.0274898,0.0149918,0.81606,-0.027502,-0.378998,-0.803676,-0.560738,-0.0858565,3.44993,0.102302,0.0508666,-0.0978593,
30,-0.116913,0.760415,-0.0727205,0.934277,0.657982,0.765365,1.19331,-0.204516,-0.336428,0.0164723,1.03239,0.0277211,0.0151718,0.815354,0.0738404,-0.133443,-0.727121,-0.616457,-0.0217862,-1.77876,-0.023448,0.000991342,-0.074888,
31,-0.234494,0.761303,-0.173757,0.945047,0.656282,0.765317,1.19279,-0.210429,-0.341826,0.0165073,1.00762,0.0270349,0.0149763,0.814909,0.132392,-0.0117431,-0.739862,-0.713144,0.0190856,-4.03994,-0.129305,-0.0431459,-0.0372108,
32,-0.288423,0.761583,-0.227628,0.949605,0.654407,0.7652,1.19296,-0.216495,-0.347779,0.0168226,0.9683,0.0257204,0.0145036,0.814741,0.161674,0.0460957,-0.768358,-0.753727,0.0544665,-5.75313,-0.185643,-0.0700132,-0.00721548,
33,-0.314361,0.76157,-0.246894,0.951761,0.652539,0.765047,1.19345,-0.222756,-0.35371,0.0173879,0.913984,0.0241469,0.0138872,0.814762,0.171369,0.074427,-0.79143,-0.715668,0.0816015,-7.8125,-0.19974,-0.0807333,0.0107955,
34,-0.325889,0.761513,-0.246752,0.952749,0.650836,0.764885,1.19411,-0.229161,-0.359119,0.0180978,0.842706,0.0225761,0.0132356,0.814889,0.171793,0.087007,-0.807119,-0.628165,0.0923342,-10,-0.188736,-0.0801583,0.0196377,
35,-0.329448,0.761488,-0.236226,0.953107,0.649393,0.764732,1.19482,-0.235668,-0.363697,0.0188329,0.753869,0.0211533,0.0126191,0.815061,0.167856,0.0907041,-0.818411,-0.511706,0.0895797,-10,-0.16515,-0.0729171,0.0224719,
36,-0.328864,0.761495,-0.221137,0.95314,0.648266,0.764597,1.19554,-0.242255,-0.367277,0.0195068,0.64749,0.0199426,0.0120759,0.81524,0.162367,0.0897569,-0.828009,-0.380413,0.0783808,-10,-0.13714,-0.0624834,0.0217494,
37,-0.326315,0.761517,-0.204924,0.953017,0.647479,0.764484,1.19625,-0.248917,-0.369774,0.0200724,0.523674,0.0189577,0.0116212,0.815404,0.156687,0.0866159,-0.837911,-0.242195,0.0633766,-10,-0.109473,-0.0511805,0.0191974,
38,-0.322899,0.761541,-0.189284,0.952823,0.647047,0.764394,1.19693,-0.255663,-0.371148,0.0205142,0.382287,0.0181845,0.0112557,0.815545,0.151204,0.0825238,-0.849462,-0.0998687,0.0479528,-10,-0.0845539,-0.0403905,0.0159396,
39,-0.319898,0.761561,-0.175321,0.952658,0.646976,0.764323,1.19757,-0.26251,-0.371371,0.0208375,0.222712,0.0175955,0.0109721,0.815659,0.146303,0.0789151,-0.862935,0.0455863,0.0339448,-10,-0.0635612,-0.0308479,0.0125482,
40,-0.319007,0.76157,-0.180974,0.952656,0.647222,0.76427,1.19819,-0.269464,-0.370592,0.0210388,0.0471618,0.0171519,0.010759,0.815748,0.160553,0.0776717,-0.867144,-0.0275707,-0.00163293,-10,-0.0538978,-0.022436,0.010685,
41,-0.308354,0.76156,-0.23322,0.95188,0.6462,0.764234,1.19878,-0.276274,-0.373836,0.020734,-0.0535669,0.016709,0.0106122,0.815843,0.222871,0.0656172,-0.838254,-0.728811,-0.0596469,-7.12152,-0.0525241,-0.0147207,0.012752,
42,-0.290712,0.761567,-0.258486,0.950521,0.643791,0.764211,1.19924,-0.282902,-0.381484,0.0202672,-0.0830132,0.0163605,0.0105188,0.815939,0.255528,0.0460505,-0.822755,-1.14515,-0.0518134,-0.970011,-0.0338042,-0.00895743,0.0112672,
43,-0.267277,0.761579,-0.265257,0.948643,0.640601,0.764198,1.19951,-0.289458,-0.391614,0.0199525,-0.0778773,0.0161901,0.0104681,0.816018,0.267684,0.0205249,-0.820298,-1.36398,-0.0261575,1.86277,-0.00998886,-0.00407044,0.00850927,
44,-0.238646,0.761587,-0.261074,0.946256,0.637027,0.764195,1.19955,-0.296032,-0.402963,0.0198317,-0.0578045,0.0162105,0.0104552,0.816074,0.267705,-0.0100856,-0.827015,-1.46142,-0.00470288,2.95518,0.0128215,0.000444299,0.00571227,
45,-0.205773,0.761592,-0.251535,0.943391,0.633305,0.764201,1.19934,-0.302679,-0.414787,0.019839,-0.0328324,0.0164025,0.0104782,0.816109,0.261839,-0.044582,-0.837948,-1.49044,0.00598142,3.19345,0.0324178,0.00478871,0.00330833,
46,-0.169689,0.761594,-0.240401,0.940089,0.629562,0.764215,1.19883,-0.309414,-0.426684,0.0198889,-0.00766541,0.0167382,0.0105357,0.816127,0.254184,-0.081784,-0.848759,-1.48417,0.0066135,3.06038,0.0484727,0.00898417,0.001362,
47,-0.131391,0.761594,-0.23,0.936388,0.625861,0.764237,1.19803,-0.316222,-0.438455,0.0199137,0.0158393,0.01719,0.0106262,0.816131,0.247152,-0.120647,-0.856244,-1.46153,0.000437546,2.8064,0.0613782,0.0129633,-0.000198638,
48,-0.0918341,0.761594,-0.221642,0.93233,0.622229,0.764267,1.1969,-0.323069,-0.450013,0.0198734,0.0372569,0.0177347,0.0107476,0.816123,0.242009,-0.160253,-0.858295,-1.43223,-0.00913958,2.5518,0.0716572,0.0166263,-0.00147381,
49,-0.0519312,0.761593,-0.215982,0.927964,0.618676,0.764304,1.19546,-0.329907,-0.461325,0.0197522,0.0568153,0.0183526,0.0108967,0.816107,0.239308,-0.199786,-0.85368,-1.40057,-0.0194657,2.34667,0.079721,0.0198698,-0.00254686,
50,-0.0125434,0.761592,-0.213269,0.92335,0.615208,0.764347,1.19371,-0.336678,-0.472379,0.0195519,0.0749819,0.0190268,0.0110698,0.816082,0.239194,-0.23851,-0.841808,-1.36792,-0.0288146,2.20492,0.0858164,0.0226011,-0.00347155,
51,0.0255429,0.76159,-0.213511,0.918557,0.611826,0.764395,1.19165,-0.343325,-0.483169,0.0192845,0.0922578,0.0197419,0.0112623,0.81605,0.241593,-0.275772,-0.822525,-1.33418,-0.0362461,2.12324,0.0900579,0.0247457,-0.00427452,
52,0.0549046,0.761587,-0.219689,0.914512,0.608533,0.764447,1.18931,-0.349789,-0.493684,0.0189673,0.109085,0.0204831,0.0114693,0.816012,0.249199,-0.304236,-0.793111,-1.29675,-0.0407696,2.05853,0.0899579,0.0258699,-0.00588685,
53,-0.050025,0.761527,-0.287056,0.926395,0.605407,0.764492,1.18732,-0.355711,-0.503676,0.0186684,0.122756,0.0210462,0.0116536,0.815905,0.315913,-0.19841,-0.687727,-1.20112,-0.0345086,1.39747,0.0556603,0.0205583,-0.0179393,
54,-0.109312,0.761545,-0.335405,0.932393,0.602429,0.764517,1.186,-0.361049,-0.513204,0.0185135,0.132041,0.0213089,0.0117531,0.815768,0.354999,-0.138194,-0.645419,-1.17736,-0.00792517,0.963598,0.0164824,0.00609253,-0.0152364,
55,-0.137604,0.761579,-0.365622,0.935058,0.599483,0.764514,1.18502,-0.366159,-0.522641,0.0185656,0.13861,0.0213066,0.0117415,0.815673,0.376192,-0.109071,-0.630073,-1.17769,0.0170648,0.704883,-0.0120804,-0.00716821,-0.00853165,
56,-0.148563,0.761593,-0.382962,0.936004,0.596539,0.76449,1.18421,-0.371174,-0.532081,0.0187775,0.143605,0.0211355,0.0116437,0.81563,0.387723,-0.0975535,-0.621781,-1.17883,0.0328892,0.560342,-0.0274407,-0.0158025,-0.00253215,
57,-0.15017,0.761594,-0.392092,0.936045,0.593606,0.764454,1.18344,-0.376117,-0.541499,0.0190745,0.147754,0.0208895,0.0114971,0.815627,0.394434,-0.0956018,-0.612889,-1.17377,0.0393907,0.486699,-0.0323068,-0.0198356,0.00147984,
58,-0.147056,0.761591,-0.396556,0.935628,0.590698,0.764413,1.18266,-0.380975,-0.550846,0.0193924,0.15149,0.0206355,0.0113335,0.815649,0.399107,-0.0984757,-0.601164,-1.16205,0.0390068,0.452413,-0.0304587,-0.020449,0.00358856,
59,-0.143777,0.761591,-0.399676,0.935188,0.587831,0.764373,1.18186,-0.385722,-0.560075,0.0196885,0.155019,0.0204108,0.0111742,0.81568,0.404218,-0.101504,-0.585428,-1.14479,0.0346316,0.431491,-0.0257046,-0.0190456,0.00413103,
60,-0.141472,0.761591,-0.402935,0.934839,0.585014,0.764338,1.18104,-0.390332,-0.569153,0.0199426,0.158404,0.0202273,0.0110299,0.815712,0.410316,-0.103528,-0.566965,-1.12496,0.0288153,0.416478,-0.0203618,-0.0168314,0.00383587,
61,-0.140063,0.761592,-0.406837,0.934574,0.582251,0.764306,1.18021,-0.394789,-0.578072,0.0201502,0.161688,0.0200846,0.010904,0.81574,0.417272,-0.104633,-0.547216,-1.10488,0.0231371,0.405708,-0.015579,-0.0145431,0.00322421,
62,-0.139609,0.761593,-0.411617,0.934402,0.57954,0.764279,1.17937,-0.399085,-0.586832,0.0203158,0.164893,0.0199758,0.0107952,0.815763,0.425016,-0.10476,-0.526848,-1.0855,0.0183505,0.396516,-0.0118266,-0.0125401,0.00254959,
63,-0.140232,0.761593,-0.417357,0.934337,0.57688,0.764256,1.17854,-0.403217,-0.595442,0.020448,0.16802,0.0198921,0.0107007,0.815781,0.433513,-0.103791,-0.506151,-1.06712,0.0147393,0.385886,-0.00924031,-0.0109737,0.00192766,
64,-0.142071,0.761594,-0.424054,0.934394,0.574267,0.764235,1.17772,-0.407183,-0.60391,0.0205565,0.171046,0.0198242,0.0106168,0.815794,0.44274,-0.101586,-0.48526,-1.04972,0.0123322,0.371099,-0.00779936,-0.00988525,0.00140483,
65,-0.145261,0.761594,-0.431663,0.934589,0.5717,0.764216,1.17692,-0.410982,-0.612243,0.0206505,0.17393,0.0197631,0.0105395,0.815804,0.452679,-0.0980088,-0.464249,-1.03319,0.0110304,0.350055,-0.0074147,-0.00925954,0.000993977,
66,-0.149922,0.761594,-0.440117,0.934933,0.569177,0.764197,1.17615,-0.414614,-0.620447,0.0207383,0.176614,0.0197007,0.0104654,0.81581,0.46332,-0.0929388,-0.443192,-1.01741,0.0106817,0.321297,-0.00797218,-0.00905539,0.000692561,
67,-0.156151,0.761594,-0.44934,0.935437,0.566695,0.764179,1.17544,-0.418077,-0.628528,0.020827,0.179033,0.0196302,0.0103913,0.815815,0.474651,-0.0862747,-0.422179,-1.00233,0.0111219,0.283905,-0.0093522,-0.00922147,0.000491578,
68,-0.164018,0.761594,-0.459254,0.936107,0.564252,0.76416,1.17478,-0.421374,-0.636493,0.0209221,0.181116,0.0195452,0.0103144,0.815818,0.486661,-0.0779381,-0.401329,-0.987924,0.0121956,0.237334,-0.0114382,-0.00970452,0.000379813,
69,-0.17357,0.761594,-0.469782,0.936945,0.561848,0.76414,1.1742,-0.424505,-0.644345,0.0210282,0.182789,0.0194405,0.0102325,0.815821,0.499337,-0.0678735,-0.380786,-0.974242,0.0137647,0.18129,-0.0141198,-0.0104533,0.000345777,
