,Gen,NbVert,NbActR,NbTeamR,MinTraining,AvgTraining,MaxTraining,MinValidation,AvgValidation,MaxValidation,T_eval,T_valid,T_decim,T_mutat,T_total,environment,seed,folder,order,Overfit,type,ContextProgram,ContextLine,ContextIntr,ContextUse,ActionProgram,ActionLine,ActionIntr,ActionUse,ActionInstr_0,ActionInstr_11,ActionInstr_18,DH0accesses,DH0loc,DH0_0,DH0_1,DH0_4,DH1accesses,DH1loc,DH1_0,DH1_6,DH1_8,ActionLineUseful,ActionInstr_1,ActionInstr_12,ActionInstr_19,ActionInstr_2,ActionInstr_8,ActionInstr_9,DH0_2,DH0_5,DH0_6,DH0_7,DH1_1,DH1_2,DH1_3,DH1_4,DH1_5,DH1_7,DH1_9,ActionInstr_10,ActionInstr_13,ActionInstr_14,ActionInstr_15,ActionInstr_17,ActionInstr_6,DH0_3,ActionInstr_16,ActionInstr_3,ActionInstr_4,ActionInstr_5,ActionInstr_7,DH0_8,DH0_9,DH0_10,DH0_11,DH0_12,DH0_13,DH0_14,DH0_15,DH0_16,DH0_17,DH0_18,DH0_19,DH0_20,DH0_21,DH0_22,DH0_23,NbAgents
0,0,1000,1000,0.0,26.84,107.5,329.32,26.84,148.61,381.63,0.34,0.32,0.0,0.34,0.81,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,-52.31,Tournament,0.0,0.0,0.0,0.0,1.0,7.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,1000,1000,0.0,26.84,121.63,414.91,26.84,164.79,440.71,0.21,0.3,0.0,0.32,2.69,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,-25.799999999999955,Tournament,0.0,0.0,0.0,0.0,1.0,12.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,1000,1000,0.0,26.84,188.84,1001.71,31.35,243.95,963.73,0.22,0.39,0.0,0.4,5.04,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,37.98000000000002,Tournament,0.0,0.0,0.0,0.0,1.0,14.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,1000,1000,0.0,26.84,260.84,7095.57,35.72,338.61,6493.57,0.23,0.67,0.0,0.68,7.07,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,602.0,Tournament,0.0,0.0,0.0,0.0,1.0,18.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,1000,1000,0.0,26.83,331.89,6702.72,35.65,473.11,6493.57,0.2,0.69,0.0,0.71,9.19,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,209.15000000000055,Tournament,0.0,0.0,0.0,0.0,1.0,18.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25,1000,1000,0.0,26.84,580.44,8135.39,36.12,799.43,8704.77,0.28,1.17,0.0,1.18,11.91,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,-569.3800000000001,Tournament,0.0,0.0,0.0,0.0,1.0,20.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30,1000,1000,0.0,26.84,1530.33,8784.49,88.43,2125.88,8704.77,0.43,2.04,0.0,2.06,15.79,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,79.71999999999935,Tournament,0.0,0.0,0.0,0.0,1.0,20.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,35,1000,1000,0.0,26.84,3140.27,9358.92,31.1,4398.86,8792.82,0.81,3.52,0.0,3.53,22.46,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,566.1000000000004,Tournament,0.0,0.0,0.0,0.0,1.0,20.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,40,1000,1000,0.0,26.83,3876.28,9155.68,26.87,5544.24,8910.5,0.59,4.13,0.0,4.14,30.01,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,245.1800000000003,Tournament,0.0,0.0,0.0,0.0,1.0,19.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,45,1000,1000,0.0,26.84,5926.98,9155.68,36.05,8014.04,9023.11,0.82,5.77,0.0,5.78,40.0,inverted_double_pendulum,0,TOURNAMENT_CLASSIC_HALF,1,132.5699999999997,Tournament,0.0,0.0,0.0,0.0,1.0,19.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
